,x,y,goal x,goal y,waypoint,current distance,angular velocity,heading,yaw,goal angle
0,967568.8763766293,1935246.3323672335,967568.8241,1935246.327,0,0.05,-0.8108212237793845,-3.069,0.02982821651080399,-3.039281295256456
1,967568.8763766293,1935246.3323672335,967572.4631,1935248.799,1,4.35,0.151384998770149,0.573,0.02982821651080462,0.6024313015486302
2,967568.9133913805,1935246.3416984535,967572.4631,1935248.799,1,4.32,0.1463652518650308,0.554,0.05125707821739501,0.6055086629982867
3,967568.9655704615,1935246.3567786,967572.4631,1935248.799,1,4.27,0.13658995526032647,0.517,0.09265112459007882,0.6095642251916702
4,967569.0246134733,1935246.3757667956,967572.4631,1935248.799,1,4.21,0.12681465865562214,0.48,0.13433384594892603,0.6138989683074839
5,967569.0722848942,1935246.392254967,967572.4631,1935248.799,1,4.16,0.11915293969517837,0.451,0.1658544949686584,0.6172620193947577
6,967569.1295198015,1935246.4136553109,967572.4631,1935248.799,1,4.1,0.11096282632366938,0.42,0.20132140763916315,0.6210864210688813
7,967569.1873714833,1935246.436560556,967572.4631,1935248.799,1,4.04,0.102508515746628,0.388,0.23726077348229824,0.6248097033789035
8,967569.2426835569,1935246.4599135409,967572.4631,1935248.799,1,3.98,0.09511099399171663,0.36,0.2677774019058591,0.62817969662521
9,967569.303779817,1935246.478339461,967572.4631,1935248.799,1,3.92,0.09537519119724924,0.361,0.2726643125560971,0.6335358395153257
10,967569.3630796048,1935246.4946162023,967572.4631,1935248.799,1,3.86,0.09669617722491186,0.366,0.2728491080178682,0.6392281063212089
11,967569.42325939,1935246.511196813,967572.4631,1935248.799,1,3.8,0.0982813604581072,0.372,0.2727921330502695,0.645167053631508
12,967569.4876915272,1935246.5289893583,967572.4631,1935248.799,1,3.74,0.10013074089683505,0.379,0.27279905359896905,0.6517213113970836
13,967569.5476966106,1935246.55270696,967572.4631,1935248.799,1,3.68,0.09616778281384686,0.364,0.2924915433163215,0.6564870958501547
14,967569.6128001101,1935246.574324166,967572.4631,1935248.799,1,3.62,0.09590358560831425,0.363,0.29991587522289237,0.6627407426831622
15,967569.6791739548,1935246.5947258882,967572.4631,1935248.799,1,3.55,0.09748876884150948,0.369,0.30055555482402746,0.6697123970138863
16,967569.7427867481,1935246.6141530182,967572.4631,1935248.799,1,3.49,0.09933814928023743,0.376,0.3004911099631125,0.6766648461123557
17,967569.8106191996,1935246.6349288553,967572.4631,1935248.799,1,3.42,0.10145172692449766,0.384,0.30048526854129515,0.6843412454770059
18,967569.8694896942,1935246.6609167678,967572.4631,1935248.799,1,3.36,0.09696037443044447,0.367,0.3220968214096573,0.6894224752699851
19,967569.9341559334,1935246.6831677605,967572.4631,1935248.799,1,3.3,0.0980171632525747,0.371,0.3259567919749292,0.6966904130849626
20,967569.9996828462,1935246.7050205574,967572.4631,1935248.799,1,3.23,0.09986654369130243,0.378,0.32610273766123016,0.7045117066422185
21,967570.0656958811,1935246.7270031439,967572.4631,1935248.799,1,3.17,0.10224431854109539,0.387,0.326029755128589,0.7127186042481634
22,967570.1332181406,1935246.7576751225,967572.4631,1935248.799,1,3.1,0.09854555766363982,0.373,0.3467092202363951,0.719480685594388
23,967570.1993399662,1935246.7824055061,967572.4631,1935248.799,1,3.03,0.09933814928023743,0.376,0.3515710757978031,0.7277180410702033
24,967570.2623809858,1935246.805164571,967572.4631,1935248.799,1,2.97,0.10145172692449766,0.384,0.3516451004151814,0.7361161541748023
25,967570.3308151057,1935246.837971645,967572.4631,1935248.799,1,2.9,0.09748876884150948,0.369,0.37495095774749126,0.7435844273225422
26,967570.4049730292,1935246.8677271728,967572.4631,1935248.799,1,2.82,0.09933814928023743,0.376,0.3772801611971188,0.7536110721504369
27,967570.4685613165,1935246.8925239935,967572.4631,1935248.799,1,2.76,0.10198012133556289,0.386,0.3769020160204557,0.7628276965752212
28,967570.5374582354,1935246.9269250587,967572.4631,1935248.799,1,2.69,0.09880975486917232,0.374,0.3975148632763868,0.7712940910239038
29,967570.6078664808,1935246.958390545,967572.4631,1935248.799,1,2.61,0.09986654369130243,0.378,0.40372750439965915,0.7814412886098269
30,967570.6755140241,1935246.9869439462,967572.4631,1935248.799,1,2.55,0.102508515746628,0.388,0.40374666343444066,0.7921959785181731
31,967570.7444413401,1935247.023267739,967572.4631,1935248.799,1,2.47,0.09933814928023743,0.376,0.4253790280251823,0.8017296295122577
32,967570.815531501,1935247.0559798148,967572.4631,1935248.799,1,2.4,0.10224431854109539,0.387,0.42665304465200243,0.8135426807267259
33,967570.8804901317,1935247.0924387183,967572.4631,1935248.799,1,2.33,0.10013074089683505,0.379,0.4443279107954325,0.8230650350068845
34,967570.9474333932,1935247.1345586565,967572.4631,1935248.799,1,2.25,0.09484679678618413,0.359,0.4732717001973826,0.8321469980984795
35,967571.0135805729,1935247.1691905258,967572.4631,1935248.799,1,2.18,0.09696037443044447,0.367,0.4767833373627066,0.8438798873998662
36,967571.0804969148,1935247.203422736,967572.4631,1935248.799,1,2.11,0.10039493810236744,0.38,0.4772371287972554,0.856788146967442
37,967571.1442954477,1935247.2437534109,967572.4631,1935248.799,1,2.04,0.09775296604704209,0.37,0.49731308725019896,0.8674811771221845
38,967571.2100016153,1935247.2811700893,967572.4631,1935248.799,1,1.97,0.09986654369130243,0.378,0.5028525063982359,0.880647992495719
39,967571.2800565065,1935247.3194951077,967572.4631,1935248.799,1,1.89,0.10382950177429062,0.393,0.503503918978465,0.8962863962278773
40,967571.3428037064,1935247.3626161239,967572.4631,1935248.799,1,1.82,0.10065913530790027,0.381,0.5273599629376879,0.9084060165561442
41,967571.3951332236,1935247.4065628399,967572.4631,1935248.799,1,1.75,0.09511099399171663,0.36,0.5567564127781786,0.9165184061264001
42,967571.4707183975,1935247.4520699407,967572.4631,1935248.799,1,1.67,0.0982813604581072,0.372,0.5642053677081965,0.9358144282439748
43,967571.5370690994,1935247.4969112498,967572.4631,1935248.799,1,1.6,0.102508515746628,0.388,0.5641856340348522,0.9526005234283135
44,967571.5998956343,1935247.5369670969,967572.4631,1935248.799,1,1.53,0.10145172692449766,0.384,0.5869566825609339,0.9709036346844727
45,967571.6710508094,1935247.5847530456,967572.4631,1935248.799,1,1.45,0.09986654369130243,0.378,0.6149598750107061,0.9928083008543622
46,967571.7347465766,1935247.6315353345,967572.4631,1935248.799,1,1.38,0.103036910157693,0.39,0.6225455850122796,1.0130055428984754
47,967571.796444382,1935247.6773246801,967572.4631,1935248.799,1,1.3,0.10198012133556289,0.386,0.6483856969596523,1.0345495726475846
48,967571.8628455693,1935247.7285742706,967572.4631,1935248.799,1,1.23,0.10039493810236744,0.38,0.6799122168782457,1.0597278537222867
49,967571.9102415687,1935247.7872558848,967572.4631,1935248.799,1,1.15,0.09590358560831425,0.363,0.7077465250231715,1.0706896856915937
50,967571.9762554168,1935247.8513295297,967572.4631,1935248.799,1,1.07,0.09986654369130243,0.378,0.7181584147961702,1.0962269565289118
51,967572.0349951462,1935247.908513684,967572.4631,1935248.799,1,0.99,0.10699986824068142,0.405,0.7177578870120643,1.1226637272256959
52,967572.0884717632,1935247.9647291596,967572.4631,1935248.799,1,0.91,0.10805665706281142,0.409,0.7396618133308148,1.1487337836110243
53,967572.1390753333,1935248.0270012405,967572.4631,1935248.799,1,0.84,0.10647147382961619,0.403,0.7704352211169568,1.1734048893958515
54,967572.1810721104,1935248.0855968513,967572.4631,1935248.799,1,0.77,0.10435789618535585,0.395,0.7994647375111776,1.1943244378219073
55,967572.2306851113,1935248.1506754935,967572.4631,1935248.799,1,0.69,0.10515048780195346,0.398,0.8281836978748041,1.2265821959550438
56,967572.2765950772,1935248.2145357018,967572.4631,1935248.799,1,0.61,0.10699986824068142,0.405,0.8568159033385454,1.2619063231777035
57,967572.3226413159,1935248.2832494578,967572.4631,1935248.799,1,0.53,0.11043443191260438,0.418,0.8864105313602805,1.3049062520415544
58,967572.3660016359,1935248.3539342117,967572.4631,1935248.799,1,0.46,0.1159825732287878,0.439,0.9173543522209326,1.3559957226997472
59,967572.40451337,1935248.4225279568,967572.4631,1935248.799,1,0.38,0.12258750336710134,0.464,0.9525080446445828,1.4164144982256663
60,967572.440222511,1935248.4927552098,967572.4631,1935248.799,1,0.31,0.1328911943828709,0.503,0.9927835102327613,1.496231549851794
61,967572.4743741687,1935248.5688159238,967572.4631,1935248.799,1,0.23,0.1558763512642023,0.59,1.0298180125778504,1.6197361423404832
62,967572.5021776849,1935248.6430668572,967572.4631,1935248.799,1,0.16,0.1949775376830193,0.738,1.0785101983093834,1.81634468018279
63,967572.5253429707,1935248.7288383974,967572.8151,1935255.675,2,6.95,0.10515048780195346,0.398,1.1309228331721213,1.5291058003117706
64,967572.5485974174,1935248.8090124475,967572.8151,1935255.675,2,6.87,0.09484679678618413,0.359,1.173166871879581,1.5320009074683065
65,967572.5777971814,1935248.881805798,967572.8151,1935255.675,2,6.8,0.09431840237511913,0.357,1.1786732692807285,1.5358780899210283
66,967572.6096849772,1935248.9582423621,967572.8151,1935255.675,2,6.72,0.09537519119724924,0.361,1.1788778945504441,1.5402233883196386
67,967572.6381613596,1935249.0266457456,967572.8151,1935255.675,2,6.65,0.09643198001937947,0.365,1.1788180840309541,1.5441887068940758
68,967572.6699879058,1935249.1030965894,967572.8151,1935255.675,2,6.57,0.09775296604704209,0.37,1.178826680326427,1.548719234570007
69,967572.7018144514,1935249.1795474284,967572.8151,1935255.675,2,6.5,0.09907395207470482,0.375,1.178827705316058,1.5533573472788693
70,967572.73029083,1935249.2479508165,967572.8151,1935255.675,2,6.43,0.10013074089683505,0.379,1.1788271101412182,1.557601430412264
71,967572.755297371,1935249.3273136925,967572.8151,1935255.675,2,6.35,0.09643198001937947,0.365,1.196087106139181,1.5613754359503322
72,967572.7820061409,1935249.4013336068,967572.8151,1935255.675,2,6.27,0.09458259958065152,0.358,1.207271999528655,1.5655213328654032
73,967572.8117997394,1935249.478987795,967572.8151,1935255.675,2,6.2,0.09563938840278186,0.362,1.207922225939287,1.570263684150767
74,967572.840316995,1935249.5524873084,967572.8151,1935255.675,2,6.12,0.09696037443044447,0.367,1.2078678965811565,1.5749150365008646
75,967572.8688037472,1935249.6259863295,967572.8151,1935255.675,2,6.05,0.0982813604581072,0.372,1.2078540088454583,1.579674193374068
76,967572.8988730967,1935249.7035686318,967572.8151,1935255.675,2,5.97,0.09960234648576982,0.377,1.2078551323085116,1.5848243874554382
77,967572.9257772524,1935249.7729843732,967572.8151,1935255.675,2,5.9,0.10092333251343266,0.382,1.2078551323085112,1.5895465790408196
78,967572.9476038072,1935249.8489403033,967572.8151,1935255.675,2,5.83,0.09643198001937947,0.365,1.2290353087869494,1.5935357038319387
79,967572.9756961472,1935249.9318764478,967572.8151,1935255.675,2,5.75,0.09669617722491186,0.366,1.232764666057462,1.5987522477231475
80,967573.0020657263,1935250.0061197954,967572.8151,1935255.675,2,5.67,0.0980171632525747,0.371,1.232851458030586,1.6037654446923348
81,967573.026883215,1935250.0762803545,967572.8151,1935255.675,2,5.6,0.09933814928023743,0.376,1.2328079303151487,1.6086053799873687
82,967573.0546204064,1935250.154695098,967572.8151,1935255.675,2,5.53,0.10065913530790027,0.381,1.2328111039938905,1.614158110757802
83,967573.0745455067,1935250.2312614857,967572.8151,1935255.675,2,5.45,0.09643198001937947,0.365,1.2539161241577512,1.6184197268901748
84,967573.0990278884,1935250.3109669033,967572.8151,1935255.675,2,5.37,0.09643198001937947,0.365,1.2585851283245546,1.6236787681990557
85,967573.1222770367,1935250.3818957862,967572.8151,1935255.675,2,5.3,0.09775296604704209,0.37,1.2592359320673436,1.6287647465142356
86,967573.1482618931,1935250.4611369434,967572.8151,1935255.675,2,5.22,0.09907395207470482,0.375,1.2591738184282515,1.6346088111695765
87,967573.1728788959,1935250.536221964,967572.8151,1935255.675,2,5.15,0.10065913530790027,0.381,1.2591669033000812,1.6403074963109283
88,967573.1908422589,1935250.6133520852,967572.8151,1935255.675,2,5.08,0.09669617722491186,0.366,1.2793801954938302,1.644893607762732
89,967573.2134258571,1935250.6935001956,967572.8151,1935255.675,2,5.0,0.09696037443044447,0.367,1.2839853154067045,1.6505875905718386
90,967573.2371441799,1935250.773284973,967572.8151,1935255.675,2,4.92,0.09854555766363982,0.373,1.284102426800951,1.6566858285807597
91,967573.2595561421,1935250.848884084,967572.8151,1935255.675,2,4.85,0.10013074089683505,0.379,1.2840225325761954,1.662631248263122
92,967573.2761918257,1935250.930829185,967572.8151,1935255.675,2,4.77,0.09616778281384686,0.364,1.3041112957242196,1.6676832585105261
93,967573.2851609843,1935250.9922092482,967572.8151,1935255.675,2,4.71,0.09537519119724924,0.361,1.309982081814774,1.6708417204118946
94,967573.3082185906,1935251.0770789778,967572.8151,1935255.675,2,4.62,0.09722457163597686,0.368,1.3097572674946334,1.6776361105622442
95,967573.3238706881,1935251.1537298637,967572.8151,1935255.675,2,4.55,0.09854555766363982,0.373,1.3094791734420073,1.6828532017593814
96,967573.346506277,1935251.230614034,967572.8151,1935255.675,2,4.48,0.10065913530790027,0.381,1.3084650235180733,1.6897993493218755
97,967573.3636172881,1935251.3152822482,967572.8151,1935255.675,2,4.39,0.09643198001937947,0.365,1.330971922563872,1.6959535665426326
98,967573.3841978048,1935251.408167638,967572.8151,1935255.675,2,4.3,0.09722457163597686,0.368,1.3358284700445973,1.7033908790321588
99,967573.4023139306,1935251.485284943,967572.8151,1935255.675,2,4.23,0.09880975486917232,0.374,1.3358221078164716,1.7100453193138723
100,967573.4301839672,1935251.5649375247,967572.8151,1935255.675,2,4.16,0.10118752971896527,0.383,1.3360297876301601,1.7193470802678665
101,967573.4403249263,1935251.642782123,967572.8151,1935255.675,2,4.08,0.09722457163597686,0.368,1.356745592628645,1.724628608554508
102,967573.4609681559,1935251.7049126073,967572.8151,1935255.675,2,4.02,0.09748876884150948,0.369,1.3633718922040665,1.7320671140856012
103,967573.4796560244,1935251.774868741,967572.8151,1935255.675,2,3.96,0.09933814928023743,0.376,1.363086019631009,1.7395686593253157
104,967573.4954829793,1935251.8635288123,967572.8151,1935255.675,2,3.87,0.10145172692449766,0.384,1.3636810062107418,1.7474449546582658
105,967573.5117477567,1935251.945773114,967572.8151,1935255.675,2,3.79,0.09696037443044447,0.367,1.3882960474801493,1.7554752650081082
106,967573.5210535215,1935252.0185852174,967572.8151,1935255.675,2,3.72,0.09669617722491186,0.366,1.3956027243287183,1.7615221418604337
107,967573.5348745733,1935252.1010041805,967572.8151,1935255.675,2,3.65,0.09854555766363982,0.373,1.3963323600778612,1.7695300986919273
108,967573.5561681768,1935252.1874324281,967572.8151,1935255.675,2,3.57,0.10145172692449766,0.384,1.3963077781041742,1.78017076453941
109,967573.562615396,1935252.2711374825,967572.8151,1935255.675,2,3.48,0.09748876884150948,0.369,1.4175097616943437,1.786972685670238
110,967573.5736844926,1935252.3500952898,967572.8151,1935255.675,2,3.41,0.09854555766363982,0.373,1.422487832032402,1.7951090935214078
111,967573.58561523,1935252.4285938835,967572.8151,1935255.675,2,3.34,0.10065913530790027,0.381,1.4229320759573474,1.8038285149912483
112,967573.590182313,1935252.5039087567,967572.8151,1935255.675,2,3.26,0.09696037443044447,0.367,1.4439192928416134,1.8105176165712076
113,967573.5996872262,1935252.587204839,967572.8151,1935255.675,2,3.19,0.0982813604581072,0.372,1.4476322272741446,1.819623527355774
114,967573.6094570057,1935252.6615346652,967572.8151,1935255.675,2,3.12,0.10065913530790027,0.381,1.447739336316206,1.8285358088733326
115,967573.6133338658,1935252.7457022197,967572.8151,1935255.675,2,3.04,0.09748876884150948,0.369,1.4678489408857398,1.836836895386868
116,967573.6203325866,1935252.8292635004,967572.8151,1935255.675,2,2.96,0.09854555766363982,0.373,1.4740023787433654,1.8465486939454325
117,967573.628381051,1935252.9082189582,967572.8151,1935255.675,2,2.88,0.10118752971896527,0.383,1.4740381555405297,1.856688725956527
118,967573.6293575949,1935252.9924928786,967572.8151,1935255.675,2,2.8,0.09722457163597686,0.368,1.497136241835967,1.8655008579396362
119,967573.6346580181,1935253.0715723825,967572.8151,1935255.675,2,2.73,0.09960234648576982,0.377,1.4989316781709887,1.8757748465717878
120,967573.6406017019,1935253.1504943152,967572.8151,1935255.675,2,2.66,0.102508515746628,0.388,1.4990185282546165,1.8868319211551505
121,967573.6392287031,1935253.2347765802,967572.8151,1935255.675,2,2.58,0.09880975486917232,0.374,1.522533691418566,1.8964957229567672
122,967573.6428397712,1935253.3183906886,967572.8151,1935255.675,2,2.5,0.10145172692449766,0.384,1.524710585369283,1.908577026418494
123,967573.64025824,1935253.3980921844,967572.8151,1935255.675,2,2.42,0.09880975486917232,0.374,1.5441207453571066,1.918477584550923
124,967573.6412149691,1935253.4816945223,967572.8151,1935255.675,2,2.34,0.10118752971896527,0.383,1.5484489028565909,1.9310153668672592
125,967573.6360614111,1935253.5657945198,967572.8151,1935255.675,2,2.26,0.0980171632525747,0.371,1.5714341635907714,1.941981972125087
126,967573.6342780887,1935253.6451883595,967572.8151,1935255.675,2,2.19,0.09960234648576982,0.377,1.5776723371585128,1.954379464154056
127,967573.6339316164,1935253.7244067541,967572.8151,1935255.675,2,2.12,0.10330110736322562,0.391,1.5775838971211467,1.9682423412460495
128,967573.626602354,1935253.799516879,967572.8151,1935255.675,2,2.04,0.09986654369130243,0.378,1.6015342831615946,1.9791622044027193
129,967573.6213861147,1935253.8875518956,967572.8151,1935255.675,2,1.96,0.10224431854109539,0.387,1.6074060187978712,1.9945498892673894
130,967573.6106048224,1935253.9667566407,967572.8151,1935255.675,2,1.88,0.09880975486917232,0.374,1.6323737320022107,2.006617798429334
131,967573.6053798837,1935254.0457600283,967572.8151,1935255.675,2,1.81,0.102508515746628,0.388,1.6342122149523595,2.022421029792619
132,967573.5937708777,1935254.12904017,967572.8151,1935255.675,2,1.73,0.10092333251343266,0.382,1.6550163679776142,2.037384544573151
133,967573.5787575379,1935254.2076740556,967572.8151,1935255.675,2,1.65,0.09722457163597686,0.368,1.6829843198982366,2.0506632035568453
134,967573.5665355672,1935254.2949567416,967572.8151,1935255.675,2,1.57,0.10065913530790027,0.381,1.6887086243021978,2.0694082095491075
135,967573.5491422083,1935254.3774277202,967572.8151,1935255.675,2,1.49,0.09907395207470482,0.375,1.7107984192098806,2.0856165752653006
136,967573.5370633304,1935254.4557269523,967572.8151,1935255.675,2,1.42,0.103036910157693,0.39,1.7154727470298958,2.105406039081952
137,967573.51757248,1935254.5377068447,967572.8151,1935255.675,2,1.34,0.10224431854109539,0.387,1.7367339283979675,2.124107650637381
138,967573.4958727772,1935254.6146933867,967572.8151,1935255.675,2,1.26,0.09986654369130243,0.378,1.7639785974729005,2.1415644252348134
139,967573.4800818777,1935254.6923385065,967572.8151,1935255.675,2,1.19,0.10515048780195346,0.398,1.7675897953065294,2.1657233180954436
140,967573.4580817537,1935254.769030401,967572.8151,1935255.675,2,1.11,0.10620727662408358,0.402,1.786415089287846,2.1880138411967818
141,967573.4321909553,1935254.8447907376,967572.8151,1935255.675,2,1.03,0.10382950177429062,0.393,1.8167773420601943,2.2099928424689637
142,967573.4024934937,1935254.9239230112,967572.8151,1935255.675,2,0.95,0.10330110736322562,0.391,1.8431673753524638,2.2345072593557025
143,967573.3741602609,1935254.994030266,967572.8151,1935255.675,2,0.88,0.10224431854109539,0.387,1.870887923421833,2.25819768679267
144,967573.3305593211,1935255.0802028924,967572.8151,1935255.675,2,0.79,0.10118752971896527,0.383,1.9022833859632036,2.284856776098697
145,967573.2991436868,1935255.1465233557,967572.8151,1935255.675,2,0.72,0.10065913530790027,0.381,1.9312277060063334,2.31233910612389
146,967573.2463309302,1935255.2076210997,967572.8151,1935255.675,2,0.64,0.09273321914192367,0.351,1.9649486254310022,2.3159896203954244
147,967573.2009698229,1935255.2874497448,967572.8151,1935255.675,2,0.55,0.10039493810236744,0.38,1.974390269481761,2.354021764456087
148,967573.1612718267,1935255.3584591488,967572.8151,1935255.675,2,0.47,0.10620727662408358,0.402,1.9985058030985896,2.400876378255056
149,967573.1252095437,1935255.4004334523,967572.8151,1935255.675,2,0.41,0.103036910157693,0.39,2.0267796276637493,2.4169106882628006
150,967573.0804262185,1935255.468890392,967572.8151,1935255.675,2,0.34,0.111755417940267,0.423,2.0581591112993207,2.4811491282503217
151,967573.0195702554,1935255.5483959494,967572.8151,1935255.675,2,0.24,0.13209860276627305,0.5,2.0874626491196184,2.587188899969921
152,967572.9717190809,1935255.6083217417,967572.8151,1935255.675,2,0.17,0.16274547860804855,0.616,2.1232454861601058,2.7390994358347007
153,967572.9152288333,1935255.6704288297,967572.4458,1935262.825,3,7.17,-0.14160970216544488,-0.536,2.1718551402631947,1.6363148502365041
154,967572.871641999,1935255.7423068958,967572.4458,1935262.825,3,7.1,-0.13896773011011931,-0.526,2.156927807466726,1.63084833990402
155,967572.8372547635,1935255.8151248072,967572.4458,1935262.825,3,7.02,-0.13183440556074066,-0.499,2.1253500462787303,1.626581714998452
156,967572.8061171876,1935255.896553044,967572.4458,1935262.825,3,6.94,-0.12311589777816656,-0.466,2.08916395615072,1.6227549954119047
157,967572.7753504901,1935255.9738528375,967572.4458,1935262.825,3,6.86,-0.11518998161219007,-0.436,2.0549461966771445,1.6188607849426204
158,967572.7480228409,1935256.0497886112,967572.4458,1935262.825,3,6.78,-0.10911344588494165,-0.413,2.0284291103751224,1.615373921282457
159,967572.7258208005,1935256.1353257054,967572.4458,1935262.825,3,6.7,-0.10013074089683505,-0.379,1.991754816502678,1.6126305647601846
160,967572.703481972,1935256.2122105313,967572.4458,1935262.825,3,6.62,-0.09326161355298879,-0.353,1.9623161417532642,1.609743834005527
161,967572.6731270269,1935256.290478004,967572.4458,1935262.825,3,6.54,-0.09273321914192378,-0.351,1.9563738180949044,1.6055709264029618
162,967572.6567092702,1935256.3519266315,967572.4458,1935262.825,3,6.48,-0.09326161355298879,-0.353,1.9563399658662075,1.6033673591855389
163,967572.6229363339,1935256.4359826709,967572.4458,1935262.825,3,6.39,-0.09458259958065152,-0.358,1.9563669185265857,1.5985143557927004
164,967572.5917018697,1935256.5139157628,967572.4458,1935262.825,3,6.31,-0.09563938840278186,-0.362,1.9563690681542842,1.5939105619693217
165,967572.5620025437,1935256.5874185797,967572.4458,1935262.825,3,6.24,-0.09696037443044447,-0.367,1.9563680430154744,1.5894235952482232
166,967572.5339230594,1935256.6569196398,967572.4458,1935262.825,3,6.17,-0.09801716325257459,-0.371,1.9563680430116033,1.5850823054383703
167,967572.5008869432,1935256.7387753134,967572.4458,1935262.825,3,6.09,-0.09960234648576993,-0.377,1.9563680430115917,1.5798471656703363
168,967572.469502633,1935256.8165382002,967572.4458,1935262.825,3,6.01,-0.10092333251343266,-0.382,1.9563680430115746,1.5747411817049504
169,967572.4453684688,1935256.896949054,967572.4458,1935262.825,3,5.93,-0.09616778281384686,-0.364,1.935183064505758,1.5707235320047537
170,967572.4201420317,1935256.9673956544,967572.4458,1935262.825,3,5.86,-0.09616778281384686,-0.364,1.9302927267093137,1.566416071209867
171,967572.3911880878,1935257.0458227475,967572.4458,1935262.825,3,5.78,-0.09722457163597698,-0.368,1.9298447246244215,1.561346835223729
172,967572.363643371,1935257.1200616534,967572.4458,1935262.825,3,5.71,-0.09880975486917232,-0.374,1.92992064693317,1.5563963551843063
173,967572.3345681411,1935257.198441047,967572.4458,1935262.825,3,5.63,-0.10013074089683505,-0.379,1.9299150602241864,1.5510298278100407
174,967572.3125612399,1935257.2793892329,967572.4458,1935262.825,3,5.55,-0.09590358560831436,-0.363,1.9098310098110731,1.5467749633671901
175,967572.2872914566,1935257.3544729354,967572.4458,1935262.825,3,5.47,-0.09590358560831436,-0.363,1.904959372320632,1.541829427409847
176,967572.2613244506,1935257.4292709308,967572.4458,1935262.825,3,5.4,-0.09748876884150948,-0.369,1.905159922809792,1.5366204592589807
177,967572.2339482141,1935257.508257116,967572.4458,1935262.825,3,5.32,-0.09880975486917232,-0.374,1.9052342146813532,1.5309712351907117
178,967572.2066024787,1935257.5872437777,967572.4458,1935262.825,3,5.24,-0.10039493810236755,-0.38,1.905231041108904,1.5251600978637914
179,967572.1859638909,1935257.6684883647,967572.4458,1935262.825,3,5.16,-0.09643198001937947,-0.365,1.885079106227577,1.5204490103033672
180,967572.1620173665,1935257.748612341,967572.4458,1935262.825,3,5.08,-0.09669617722491197,-0.366,1.8805000606196476,1.5149519763469814
181,967572.1382047305,1935257.8241616779,967572.4458,1935262.825,3,5.01,-0.09801716325257459,-0.371,1.880416535390893,1.5093649793013408
182,967572.1131678323,1935257.9037801016,967572.4458,1935262.825,3,4.93,-0.09960234648576993,-0.377,1.8804643893986053,1.503307573112876
183,967572.0894488967,1935257.9791936306,967572.4458,1935262.825,3,4.86,-0.10118752971896516,-0.383,1.880456711729107,1.4973904189253122
184,967572.0719524384,1935258.056643775,967572.4458,1935262.825,3,4.78,-0.09722457163597698,-0.368,1.8600967677985245,1.4925546092571853
185,967572.0492524488,1935258.1370469579,967572.4458,1935262.825,3,4.7,-0.0982813604581072,-0.372,1.8580017545279843,1.4864085801319589
186,967572.0270809602,1935258.2130038347,967572.4458,1935262.825,3,4.63,-0.09986654369130255,-0.378,1.8582307797738546,1.4802554356306132
187,967572.0050004963,1935258.2889926783,967572.4458,1935262.825,3,4.56,-0.10145172692449766,-0.384,1.858273886043333,1.4739226418162623
188,967571.988284058,1935258.3711082963,967572.4458,1935262.825,3,4.48,-0.09696037443044447,-0.367,1.8349779048050643,1.468432629072917
189,967571.9679217067,1935258.4522504848,967572.4458,1935262.825,3,4.4,-0.09801716325257459,-0.371,1.833172814398119,1.4619427728368783
